"Question,Answer",,,,,
"В 1992 году уругвайские граждане утратили право, которое сохранялось в законодательстве Уругвая дольше, чем в какой-либо другой стране. А ведь были времена, когда оно считалось неотъемлемым правом благородного человека. Что же запретил новый уругвайский закон?",Дуэли,"Россию, говорят: """"... Держись! Сегодня","ветер против нас!"""". Назовите того, к кому",обращаются с этими,"словами."",Чебурашка"
"Это выражение из трех слов стало популярным после того, как в Нью-Йорке в 1911 г. была поставлена одноименная пьеса американского драматурга Ч. Нирдлингера, в которой рассказывалось о Долли Мэдисон, жене четвертого президента США. Как же называлась эта пьеса?","""Первая леди страны"" (""The First Lady in the Land"")","своей команды, оставляя у него паспорта",и деньги. Кто же является талисманом этого,"клуба?"",Кенгуру",
"Какой популярной продукции женский журнал ""Elle"" посвятил заметку под названием ""Проблема века""?",Теням для век.,,,,
"Однажды автор вопроса натолкнулся в переводном тексте на следующую, совершенно бессмысленную в контексте фразу: ""Купи, купи ребенка, ребенок — хорошая покупка"". Какую фразу так перевели?","""Bye-bye baby, baby good bye"".",,,,
"Автор вопроса однажды увидел смешной плакат, повешенный в офисе программиста солидной компьютерной компании: ""Сотрудники нашей компании похожи на Робинзонов Крузо, они..."". Закончите, пожалуйста, эту фразу.",Так же с нетерпением ждут пятницы,,,,
"Конец тысячелетия обычно вызывает апокалипсическую панику, религиозные фанатики ждут конца света. Что, согласно легенде, сделали в ночь на 1 января 1000 года все жители Исландии в надежде спасти душу?",Приняли христианство,,,,
"В банке города Сафферн (штат Нью-Йорк) в стойку, разделяющую посетителей и кассиров, напротив каждого окошка вмонтирована ультрафиолетовая лампа. Зачем она нужна?",Чтобы предохранить кассиров от инфекций со стороны посетителей.,,,,
В 1943 года инженерные части Вермахта приступили к демонтажу ЭТОГО в Бельгии и Норвегии для переброски на восточный фронт. ЭТО упоминается в начале при осуществлении совокупности приемов механического и рефлекторного воздействия на ткани и органы человека. Назовите ЭТО,Рельсы,,,,
"Продолжим тему. Кими Райкконен вспоминал, что его первой машиной была ""ОНА"", которую они вместе с отцом нашли приготовленной к утилизации. Самостоятельно восстановив ее и перекрасив, Кими проникся к ней обожанием. По его словам, это была хорошая машина, которая почти никогда не ломалась. Назовите ЕЕ.","""Лада""",,,,
"Первого марта 2002 года сеть супермаркетов ""Tesco"" [тЭско] объявила о скором поступлении в продажу специально выведенного сорта моркови, громким свистом оповещающего о своей готовности, благодаря дырочкам по бокам. Какое слово мы заменили в предыдущем предложении?",Апреля,,,,
"На бейсбольном поле бывает пыльно, поэтому бейсболисты, наплевав на рекомендации медиков, часто используют ЕГО во время игры. Шахтеры также часто употребляют ЕГО на рабочем месте, но по другой причине. Назовите ЕГО двумя словами.",Жевательный табак.,,,,
"Герои одного романа, находясь в напряженном ожидании, слышали каждый ЕЕ шажок. ЕЕ скорость — шесть ИКСОВ в секунду. Какую единицу измерения мы заменили на ""ИКС""?",Градус.,,,,
"[Ведущему: выделить голосом слова ""державшая в строгости"".] Описывая свое довоенное детство, Давид Симанович вспоминает, как державшая в строгости своих учеников учительница потребовала зачеркнуть в учебнике истории фотографию этого человека, а еще через несколько дней Давид Симанович после долгой разлуки встретился со своим отцом. Назовите этого человека.", [Николай Иванович] Ежов.,,,,
"В одном фильме компания приятелей обнаруживает, что им нечем расплатиться в ресторане. И тогда один из них со словами ""Сегодня я угощаю"" достает ЕГО. В произведении 1921 года один вид ЕГО вызывал ужас. Назовите ЕГО.",Таракан,,,,
